"","Cancer_Subtype","NumberofSamples"
"1","ACC","78"
"2","BLCA","397"
"3","BRCA","1083"
"4","CESC","300"
"5","CHOL","35"
"6","COAD","441"
"7","ESCA","173"
"8","GBM","154"
"9","HNSC","514"
"10","KICH","65"
"11","KIRC","515"
"12","KIRP","279"
"13","LGG","514"
"14","LIHC","362"
"15","LUAD","457"
"16","LUSC","486"
"17","MESO","83"
"18","OV","269"
"19","PAAD","151"
"20","PCPG","178"
"21","PRAD","405"
"22","READ","156"
"23","SARC","223"
"24","SKCM","103"
"25","STAD","391"
"26","TGCT","149"
"27","THCA","500"
"28","UCEC","528"
"29","UCS","57"
"30","UVM","80"
